day,station,code,min_delay,min_gap,bound,line,vehicle,day_month,month,hour,min,at_station,day_indexed,code_indexed,bound_indexed,line_indexed,station_indexed,station_w2v,features,scaled_features,station_w2v_vector,features_w2v,scaled_features_w2v
Thursday,yorkdale station,PUOPO,6,9,N,YU,5436,5,1,12,26,1,0.0,2.0,1.0,0.0,29.0,"[0, 0, 36, 1]","[9.0,5436.0,5.0,1.0,12.0,26.0,1.0,0.0,2.0,1.0,0.0,29.0]","[0.225,0.8787584869059166,0.19047619047619047,0.5,0.5217391304347826,0.4406779661016949,0.5,0.0,0.012987012987012988,0.25,0.0,0.3918918918918919]","[0.0,0.0,36.0,1.0]","[0.0,0.0,36.0,1.0,9.0,5436.0,5.0,1.0,12.0,26.0,1.0,0.0,2.0,1.0,0.0]","[0.0,0.0,0.4285714285714286,0.5,0.225,0.8787584869059166,0.19047619047619047,0.5,0.5217391304347826,0.4406779661016949,0.5,0.0,0.012987012987012988,0.25,0.0]"
Thursday,wilson station,PUOPO,3,6,N,YU,5436,5,1,12,36,1,0.0,2.0,1.0,0.0,6.0,"[0, 0, 17, 1]","[6.0,5436.0,5.0,1.0,12.0,36.0,1.0,0.0,2.0,1.0,0.0,6.0]","[0.15000000000000002,0.8787584869059166,0.19047619047619047,0.5,0.5217391304347826,0.6101694915254238,0.5,0.0,0.012987012987012988,0.25,0.0,0.08108108108108109]","[0.0,0.0,17.0,1.0]","[0.0,0.0,17.0,1.0,6.0,5436.0,5.0,1.0,12.0,36.0,1.0,0.0,2.0,1.0,0.0]","[0.0,0.0,0.18181818181818182,0.5,0.15000000000000002,0.8787584869059166,0.19047619047619047,0.5,0.5217391304347826,0.6101694915254238,0.5,0.0,0.012987012987012988,0.25,0.0]"
Thursday,coxwell station,TUNIP,3,6,E,BD,5128,5,1,13,2,1,0.0,17.0,3.0,1.0,21.0,"[0, 0, 28, 1]","[6.0,5128.0,5.0,1.0,13.0,2.0,1.0,0.0,17.0,3.0,1.0,21.0]","[0.15000000000000002,0.8289686388619464,0.19047619047619047,0.5,0.5652173913043478,0.03389830508474576,0.5,0.0,0.1103896103896104,0.75,0.3333333333333333,0.28378378378378377]","[0.0,0.0,28.0,1.0]","[0.0,0.0,28.0,1.0,6.0,5128.0,5.0,1.0,13.0,2.0,1.0,0.0,17.0,3.0,1.0]","[0.0,0.0,0.3246753246753247,0.5,0.15000000000000002,0.8289686388619464,0.19047619047619047,0.5,0.5652173913043478,0.03389830508474576,0.5,0.0,0.1103896103896104,0.75,0.3333333333333333]"
Thursday,islington station,SUDP,3,6,E,BD,5203,5,1,13,13,1,0.0,0.0,3.0,1.0,38.0,"[0, 0, 42, 1]","[6.0,5203.0,5.0,1.0,13.0,13.0,1.0,0.0,0.0,3.0,1.0,38.0]","[0.15000000000000002,0.8410927901713547,0.19047619047619047,0.5,0.5652173913043478,0.22033898305084745,0.5,0.0,0.0,0.75,0.3333333333333333,0.5135135135135136]","[0.0,0.0,42.0,1.0]","[0.0,0.0,42.0,1.0,6.0,5203.0,5.0,1.0,13.0,13.0,1.0,0.0,0.0,3.0,1.0]","[0.0,0.0,0.5064935064935066,0.5,0.15000000000000002,0.8410927901713547,0.19047619047619047,0.5,0.5652173913043478,0.22033898305084745,0.5,0.0,0.0,0.75,0.3333333333333333]"
Thursday,museum station,MUPAA,3,6,N,YU,6081,5,1,14,2,1,0.0,1.0,1.0,0.0,42.0,"[0, 0, 47, 1]","[6.0,6081.0,5.0,1.0,14.0,2.0,1.0,0.0,1.0,1.0,0.0,42.0]","[0.15000000000000002,0.9830261881668284,0.19047619047619047,0.5,0.6086956521739131,0.03389830508474576,0.5,0.0,0.006493506493506494,0.25,0.0,0.5675675675675675]","[0.0,0.0,47.0,1.0]","[0.0,0.0,47.0,1.0,6.0,6081.0,5.0,1.0,14.0,2.0,1.0,0.0,1.0,1.0,0.0]","[0.0,0.0,0.5714285714285715,0.5,0.15000000000000002,0.9830261881668284,0.19047619047619047,0.5,0.6086956521739131,0.03389830508474576,0.5,0.0,0.006493506493506494,0.25,0.0]"
Thursday,main street station,EUNT,3,6,E,BD,5025,5,1,15,3,1,0.0,16.0,3.0,1.0,41.0,"[0, 45, 46, 1]","[6.0,5025.0,5.0,1.0,15.0,3.0,1.0,0.0,16.0,3.0,1.0,41.0]","[0.15000000000000002,0.8123181377303589,0.19047619047619047,0.5,0.6521739130434783,0.05084745762711865,0.5,0.0,0.1038961038961039,0.75,0.3333333333333333,0.5540540540540541]","[0.0,45.0,46.0,1.0]","[0.0,45.0,46.0,1.0,6.0,5025.0,5.0,1.0,15.0,3.0,1.0,0.0,16.0,3.0,1.0]","[0.0,0.5487804878048781,0.5584415584415585,0.5,0.15000000000000002,0.8123181377303589,0.19047619047619047,0.5,0.6521739130434783,0.05084745762711865,0.5,0.0,0.1038961038961039,0.75,0.3333333333333333]"
Thursday,christie station,SUDP,4,7,E,BD,5324,5,1,16,10,1,0.0,0.0,3.0,1.0,53.0,"[0, 0, 60, 1]","[7.0,5324.0,5.0,1.0,16.0,10.0,1.0,0.0,0.0,3.0,1.0,53.0]","[0.17500000000000002,0.8606530876172002,0.19047619047619047,0.5,0.6956521739130435,0.1694915254237288,0.5,0.0,0.0,0.75,0.3333333333333333,0.7162162162162162]","[0.0,0.0,60.0,1.0]","[0.0,0.0,60.0,1.0,7.0,5324.0,5.0,1.0,16.0,10.0,1.0,0.0,0.0,3.0,1.0]","[0.0,0.0,0.7402597402597403,0.5,0.17500000000000002,0.8606530876172002,0.19047619047619047,0.5,0.6956521739130435,0.1694915254237288,0.5,0.0,0.0,0.75,0.3333333333333333]"
Thursday,kennedy station,SUDP,4,8,W,BD,5178,5,1,19,20,1,0.0,0.0,2.0,1.0,1.0,"[0, 0, 6, 1]","[8.0,5178.0,5.0,1.0,19.0,20.0,1.0,0.0,0.0,2.0,1.0,1.0]","[0.2,0.837051406401552,0.19047619047619047,0.5,0.8260869565217391,0.3389830508474576,0.5,0.0,0.0,0.5,0.3333333333333333,0.013513513513513514]","[0.0,0.0,6.0,1.0]","[0.0,0.0,6.0,1.0,8.0,5178.0,5.0,1.0,19.0,20.0,1.0,0.0,0.0,2.0,1.0]","[0.0,0.0,0.03896103896103896,0.5,0.2,0.837051406401552,0.19047619047619047,0.5,0.8260869565217391,0.3389830508474576,0.5,0.0,0.0,0.5,0.3333333333333333]"
Thursday,lawrence station,SUDP,6,9,N,YU,5421,5,1,19,45,1,0.0,0.0,1.0,0.0,16.0,"[0, 0, 13, 1]","[9.0,5421.0,5.0,1.0,19.0,45.0,1.0,0.0,0.0,1.0,0.0,16.0]","[0.225,0.876333656644035,0.19047619047619047,0.5,0.8260869565217391,0.7627118644067796,0.5,0.0,0.0,0.25,0.0,0.21621621621621623]","[0.0,0.0,13.0,1.0]","[0.0,0.0,13.0,1.0,9.0,5421.0,5.0,1.0,19.0,45.0,1.0,0.0,0.0,1.0,0.0]","[0.0,0.0,0.12987012987012989,0.5,0.225,0.876333656644035,0.19047619047619047,0.5,0.8260869565217391,0.7627118644067796,0.5,0.0,0.0,0.25,0.0]"
Thursday,eglinton station,MUATC,5,8,S,YU,5481,5,1,20,12,1,0.0,6.0,0.0,0.0,3.0,"[0, 0, 7, 1]","[8.0,5481.0,5.0,1.0,20.0,12.0,1.0,0.0,6.0,0.0,0.0,3.0]","[0.2,0.8860329776915616,0.19047619047619047,0.5,0.8695652173913043,0.2033898305084746,0.5,0.0,0.03896103896103896,0.0,0.0,0.04054054054054054]","[0.0,0.0,7.0,1.0]","[0.0,0.0,7.0,1.0,8.0,5481.0,5.0,1.0,20.0,12.0,1.0,0.0,6.0,0.0,0.0]","[0.0,0.0,0.05194805194805195,0.5,0.2,0.8860329776915616,0.19047619047619047,0.5,0.8695652173913043,0.2033898305084746,0.5,0.0,0.03896103896103896,0.0,0.0]"
Thursday,lawrence station,SUDP,6,9,S,YU,0,5,1,20,16,1,0.0,0.0,0.0,0.0,16.0,"[0, 0, 13, 1]","[9.0,0.0,5.0,1.0,20.0,16.0,1.0,0.0,0.0,0.0,0.0,16.0]","[0.225,0.0,0.19047619047619047,0.5,0.8695652173913043,0.2711864406779661,0.5,0.0,0.0,0.0,0.0,0.21621621621621623]","[0.0,0.0,13.0,1.0]","(15,[2,3,4,6,7,8,9,10],[13.0,1.0,9.0,5.0,1.0,20.0,16.0,1.0])","(15,[2,3,4,6,7,8,9,10],[0.12987012987012989,0.5,0.225,0.19047619047619047,0.5,0.8695652173913043,0.2711864406779661,0.5])"
Thursday,kennedy station,MUI,4,8,E,BD,5318,5,1,23,9,1,0.0,8.0,3.0,1.0,1.0,"[0, 0, 6, 1]","[8.0,5318.0,5.0,1.0,23.0,9.0,1.0,0.0,8.0,3.0,1.0,1.0]","[0.2,0.8596831555124476,0.19047619047619047,0.5,1.0,0.15254237288135594,0.5,0.0,0.05194805194805195,0.75,0.3333333333333333,0.013513513513513514]","[0.0,0.0,6.0,1.0]","[0.0,0.0,6.0,1.0,8.0,5318.0,5.0,1.0,23.0,9.0,1.0,0.0,8.0,3.0,1.0]","[0.0,0.0,0.03896103896103896,0.5,0.2,0.8596831555124476,0.19047619047619047,0.5,1.0,0.15254237288135594,0.5,0.0,0.05194805194805195,0.75,0.3333333333333333]"
Thursday,union station,SUDP,7,12,N,YU,6126,5,1,23,14,1,0.0,0.0,1.0,0.0,12.0,"[0, 0, 23, 1]","[12.0,6126.0,5.0,1.0,23.0,14.0,1.0,0.0,0.0,1.0,0.0,12.0]","[0.30000000000000004,0.9903006789524734,0.19047619047619047,0.5,1.0,0.23728813559322035,0.5,0.0,0.0,0.25,0.0,0.16216216216216217]","[0.0,0.0,23.0,1.0]","[0.0,0.0,23.0,1.0,12.0,6126.0,5.0,1.0,23.0,14.0,1.0,0.0,0.0,1.0,0.0]","[0.0,0.0,0.25974025974025977,0.5,0.30000000000000004,0.9903006789524734,0.19047619047619047,0.5,1.0,0.23728813559322035,0.5,0.0,0.0,0.25,0.0]"
Thursday,royal york station,PUTSC,5,10,W,BD,5358,5,1,1,21,1,0.0,92.0,2.0,1.0,56.0,"[0, 62, 8, 1]","[10.0,5358.0,5.0,1.0,1.0,21.0,1.0,0.0,92.0,2.0,1.0,56.0]","[0.25,0.866149369544132,0.19047619047619047,0.5,0.043478260869565216,0.3559322033898305,0.5,0.0,0.5974025974025975,0.5,0.3333333333333333,0.7567567567567568]","[0.0,62.0,8.0,1.0]","[0.0,62.0,8.0,1.0,10.0,5358.0,5.0,1.0,1.0,21.0,1.0,0.0,92.0,2.0,1.0]","[0.0,0.7560975609756098,0.06493506493506494,0.5,0.25,0.866149369544132,0.19047619047619047,0.5,0.043478260869565216,0.3559322033898305,0.5,0.0,0.5974025974025975,0.5,0.3333333333333333]"
Thursday,kipling station,PUSTC,6,11,E,BD,5032,5,1,1,38,1,0.0,54.0,3.0,1.0,2.0,"[0, 0, 12, 1]","[11.0,5032.0,5.0,1.0,1.0,38.0,1.0,0.0,54.0,3.0,1.0,2.0]","[0.275,0.8134497251859037,0.19047619047619047,0.5,0.043478260869565216,0.6440677966101694,0.5,0.0,0.35064935064935066,0.75,0.3333333333333333,0.02702702702702703]","[0.0,0.0,12.0,1.0]","[0.0,0.0,12.0,1.0,11.0,5032.0,5.0,1.0,1.0,38.0,1.0,0.0,54.0,3.0,1.0]","[0.0,0.0,0.1168831168831169,0.5,0.275,0.8134497251859037,0.19047619047619047,0.5,0.043478260869565216,0.6440677966101694,0.5,0.0,0.35064935064935066,0.75,0.3333333333333333]"
Friday,midland station,ERDO,3,8,S,SRT,0,6,1,10,49,1,3.0,40.0,0.0,2.0,71.0,"[0, 0, 79, 1]","[8.0,0.0,6.0,1.0,10.0,49.0,1.0,3.0,40.0,0.0,2.0,71.0]","[0.2,0.0,0.23809523809523808,0.5,0.43478260869565216,0.8305084745762712,0.5,0.5,0.25974025974025977,0.0,0.6666666666666666,0.9594594594594595]","[0.0,0.0,79.0,1.0]","[0.0,0.0,79.0,1.0,8.0,0.0,6.0,1.0,10.0,49.0,1.0,3.0,40.0,0.0,2.0]","[0.0,0.0,0.9870129870129871,0.5,0.2,0.0,0.23809523809523808,0.5,0.43478260869565216,0.8305084745762712,0.5,0.5,0.25974025974025977,0.0,0.6666666666666666]"
Friday,lawrence east station,MRTO,11,16,N,SRT,3007,6,1,11,5,1,3.0,23.0,1.0,2.0,57.0,"[0, 13, 64, 1]","[16.0,3007.0,6.0,1.0,11.0,5.0,1.0,3.0,23.0,1.0,2.0,57.0]","[0.4,0.4860976398318785,0.23809523809523808,0.5,0.4782608695652174,0.0847457627118644,0.5,0.5,0.14935064935064937,0.25,0.6666666666666666,0.7702702702702703]","[0.0,13.0,64.0,1.0]","[0.0,13.0,64.0,1.0,16.0,3007.0,6.0,1.0,11.0,5.0,1.0,3.0,23.0,1.0,2.0]","[0.0,0.15853658536585366,0.7922077922077922,0.5,0.4,0.4860976398318785,0.23809523809523808,0.5,0.4782608695652174,0.0847457627118644,0.5,0.5,0.14935064935064937,0.25,0.6666666666666666]"
Friday,mccowan station,TRO,5,10,unknown,SRT,3016,6,1,14,42,1,3.0,64.0,4.0,2.0,23.0,"[0, 0, 30, 1]","[10.0,3016.0,6.0,1.0,14.0,42.0,1.0,3.0,64.0,4.0,2.0,23.0]","[0.25,0.4875525379890075,0.23809523809523808,0.5,0.6086956521739131,0.711864406779661,0.5,0.5,0.4155844155844156,1.0,0.6666666666666666,0.31081081081081086]","[0.0,0.0,30.0,1.0]","[0.0,0.0,30.0,1.0,10.0,3016.0,6.0,1.0,14.0,42.0,1.0,3.0,64.0,4.0,2.0]","[0.0,0.0,0.35064935064935066,0.5,0.25,0.4875525379890075,0.23809523809523808,0.5,0.6086956521739131,0.711864406779661,0.5,0.5,0.4155844155844156,1.0,0.6666666666666666]"
Friday,eglinton west station,MUIR,6,9,N,YU,5636,6,1,6,39,1,3.0,4.0,1.0,0.0,35.0,"[0, 7, 3, 1]","[9.0,5636.0,6.0,1.0,6.0,39.0,1.0,3.0,4.0,1.0,0.0,35.0]","[0.225,0.9110895570643389,0.23809523809523808,0.5,0.2608695652173913,0.6610169491525424,0.5,0.5,0.025974025974025976,0.25,0.0,0.472972972972973]","[0.0,7.0,3.0,1.0]","[0.0,7.0,3.0,1.0,9.0,5636.0,6.0,1.0,6.0,39.0,1.0,3.0,4.0,1.0,0.0]","[0.0,0.08536585365853659,0.0,0.5,0.225,0.9110895570643389,0.23809523809523808,0.5,0.2608695652173913,0.6610169491525424,0.5,0.5,0.025974025974025976,0.25,0.0]"
Friday,midland station,ERDO,3,8,N,SRT,3012,6,1,16,15,1,3.0,40.0,1.0,2.0,71.0,"[0, 0, 79, 1]","[8.0,3012.0,6.0,1.0,16.0,15.0,1.0,3.0,40.0,1.0,2.0,71.0]","[0.2,0.48690591658583904,0.23809523809523808,0.5,0.6956521739130435,0.2542372881355932,0.5,0.5,0.25974025974025977,0.25,0.6666666666666666,0.9594594594594595]","[0.0,0.0,79.0,1.0]","[0.0,0.0,79.0,1.0,8.0,3012.0,6.0,1.0,16.0,15.0,1.0,3.0,40.0,1.0,2.0]","[0.0,0.0,0.9870129870129871,0.5,0.2,0.48690591658583904,0.23809523809523808,0.5,0.6956521739130435,0.2542372881355932,0.5,0.5,0.25974025974025977,0.25,0.6666666666666666]"
Friday,finch station,EUBK,3,6,S,YU,5761,6,1,7,10,1,3.0,30.0,0.0,0.0,5.0,"[0, 0, 10, 1]","[6.0,5761.0,6.0,1.0,7.0,10.0,1.0,3.0,30.0,0.0,0.0,5.0]","[0.15000000000000002,0.9312964759133529,0.23809523809523808,0.5,0.30434782608695654,0.1694915254237288,0.5,0.5,0.19480519480519481,0.0,0.0,0.06756756756756757]","[0.0,0.0,10.0,1.0]","[0.0,0.0,10.0,1.0,6.0,5761.0,6.0,1.0,7.0,10.0,1.0,3.0,30.0,0.0,0.0]","[0.0,0.0,0.09090909090909091,0.5,0.15000000000000002,0.9312964759133529,0.23809523809523808,0.5,0.30434782608695654,0.1694915254237288,0.5,0.5,0.19480519480519481,0.0,0.0]"
Friday,lawrence station,EUDO,7,10,S,YU,5666,6,1,9,19,1,3.0,10.0,0.0,0.0,16.0,"[0, 0, 13, 1]","[10.0,5666.0,6.0,1.0,9.0,19.0,1.0,3.0,10.0,0.0,0.0,16.0]","[0.25,0.9159392175881023,0.23809523809523808,0.5,0.3913043478260869,0.3220338983050847,0.5,0.5,0.06493506493506494,0.0,0.0,0.21621621621621623]","[0.0,0.0,13.0,1.0]","[0.0,0.0,13.0,1.0,10.0,5666.0,6.0,1.0,9.0,19.0,1.0,3.0,10.0,0.0,0.0]","[0.0,0.0,0.12987012987012989,0.5,0.25,0.9159392175881023,0.23809523809523808,0.5,0.3913043478260869,0.3220338983050847,0.5,0.5,0.06493506493506494,0.0,0.0]"
Friday,warden station,SUUT,13,16,W,BD,5297,6,1,10,6,1,3.0,5.0,2.0,1.0,17.0,"[0, 0, 27, 1]","[16.0,5297.0,6.0,1.0,10.0,6.0,1.0,3.0,5.0,2.0,1.0,17.0]","[0.4,0.8562883931458132,0.23809523809523808,0.5,0.43478260869565216,0.1016949152542373,0.5,0.5,0.03246753246753247,0.5,0.3333333333333333,0.22972972972972974]","[0.0,0.0,27.0,1.0]","[0.0,0.0,27.0,1.0,16.0,5297.0,6.0,1.0,10.0,6.0,1.0,3.0,5.0,2.0,1.0]","[0.0,0.0,0.3116883116883117,0.5,0.4,0.8562883931458132,0.23809523809523808,0.5,0.43478260869565216,0.1016949152542373,0.5,0.5,0.03246753246753247,0.5,0.3333333333333333]"
Friday,sheppard yonge station,MUPAA,3,6,N,YU,5466,6,1,10,24,1,3.0,1.0,1.0,0.0,7.0,"[0, 9, 4, 1]","[6.0,5466.0,6.0,1.0,10.0,24.0,1.0,3.0,1.0,1.0,0.0,7.0]","[0.15000000000000002,0.88360814742968,0.23809523809523808,0.5,0.43478260869565216,0.4067796610169492,0.5,0.5,0.006493506493506494,0.25,0.0,0.0945945945945946]","[0.0,9.0,4.0,1.0]","[0.0,9.0,4.0,1.0,6.0,5466.0,6.0,1.0,10.0,24.0,1.0,3.0,1.0,1.0,0.0]","[0.0,0.10975609756097561,0.012987012987012988,0.5,0.15000000000000002,0.88360814742968,0.23809523809523808,0.5,0.43478260869565216,0.4067796610169492,0.5,0.5,0.006493506493506494,0.25,0.0]"
Friday,dufferin station,SUDP,8,11,E,BD,5170,6,1,10,43,1,3.0,0.0,3.0,1.0,48.0,"[0, 0, 56, 1]","[11.0,5170.0,6.0,1.0,10.0,43.0,1.0,3.0,0.0,3.0,1.0,48.0]","[0.275,0.835758163595215,0.23809523809523808,0.5,0.43478260869565216,0.7288135593220338,0.5,0.5,0.0,0.75,0.3333333333333333,0.6486486486486487]","[0.0,0.0,56.0,1.0]","[0.0,0.0,56.0,1.0,11.0,5170.0,6.0,1.0,10.0,43.0,1.0,3.0,0.0,3.0,1.0]","[0.0,0.0,0.6883116883116883,0.5,0.275,0.835758163595215,0.23809523809523808,0.5,0.43478260869565216,0.7288135593220338,0.5,0.5,0.0,0.75,0.3333333333333333]"
Friday,kennedy station,SUO,3,6,W,BD,5195,6,1,11,24,1,3.0,3.0,2.0,1.0,1.0,"[0, 0, 6, 1]","[6.0,5195.0,6.0,1.0,11.0,24.0,1.0,3.0,3.0,2.0,1.0,1.0]","[0.15000000000000002,0.8397995473650178,0.23809523809523808,0.5,0.4782608695652174,0.4067796610169492,0.5,0.5,0.01948051948051948,0.5,0.3333333333333333,0.013513513513513514]","[0.0,0.0,6.0,1.0]","[0.0,0.0,6.0,1.0,6.0,5195.0,6.0,1.0,11.0,24.0,1.0,3.0,3.0,2.0,1.0]","[0.0,0.0,0.03896103896103896,0.5,0.15000000000000002,0.8397995473650178,0.23809523809523808,0.5,0.4782608695652174,0.4067796610169492,0.5,0.5,0.01948051948051948,0.5,0.3333333333333333]"
Friday,union station,SUUT,13,16,N,YU,6011,6,1,11,51,1,3.0,5.0,1.0,0.0,12.0,"[0, 0, 23, 1]","[16.0,6011.0,6.0,1.0,11.0,51.0,1.0,3.0,5.0,1.0,0.0,12.0]","[0.4,0.9717103136113806,0.23809523809523808,0.5,0.4782608695652174,0.864406779661017,0.5,0.5,0.03246753246753247,0.25,0.0,0.16216216216216217]","[0.0,0.0,23.0,1.0]","[0.0,0.0,23.0,1.0,16.0,6011.0,6.0,1.0,11.0,51.0,1.0,3.0,5.0,1.0,0.0]","[0.0,0.0,0.25974025974025977,0.5,0.4,0.9717103136113806,0.23809523809523808,0.5,0.4782608695652174,0.864406779661017,0.5,0.5,0.03246753246753247,0.25,0.0]"
Friday,kipling station,MUIR,3,6,E,BD,5029,6,1,14,15,1,3.0,4.0,3.0,1.0,2.0,"[0, 0, 12, 1]","[6.0,5029.0,6.0,1.0,14.0,15.0,1.0,3.0,4.0,3.0,1.0,2.0]","[0.15000000000000002,0.8129647591335274,0.23809523809523808,0.5,0.6086956521739131,0.2542372881355932,0.5,0.5,0.025974025974025976,0.75,0.3333333333333333,0.02702702702702703]","[0.0,0.0,12.0,1.0]","[0.0,0.0,12.0,1.0,6.0,5029.0,6.0,1.0,14.0,15.0,1.0,3.0,4.0,3.0,1.0]","[0.0,0.0,0.1168831168831169,0.5,0.15000000000000002,0.8129647591335274,0.23809523809523808,0.5,0.6086956521739131,0.2542372881355932,0.5,0.5,0.025974025974025976,0.75,0.3333333333333333]"
Friday,glencairn station,PUOPO,6,8,S,YU,6061,6,1,15,45,1,3.0,2.0,0.0,0.0,61.0,"[0, 0, 67, 1]","[8.0,6061.0,6.0,1.0,15.0,45.0,1.0,3.0,2.0,0.0,0.0,61.0]","[0.2,0.9797930811509862,0.23809523809523808,0.5,0.6521739130434783,0.7627118644067796,0.5,0.5,0.012987012987012988,0.0,0.0,0.8243243243243243]","[0.0,0.0,67.0,1.0]","[0.0,0.0,67.0,1.0,8.0,6061.0,6.0,1.0,15.0,45.0,1.0,3.0,2.0,0.0,0.0]","[0.0,0.0,0.8311688311688312,0.5,0.2,0.9797930811509862,0.23809523809523808,0.5,0.6521739130434783,0.7627118644067796,0.5,0.5,0.012987012987012988,0.0,0.0]"
Friday,eglinton west station,PUOPO,3,5,S,YU,6061,6,1,15,53,1,3.0,2.0,0.0,0.0,35.0,"[0, 7, 3, 1]","[5.0,6061.0,6.0,1.0,15.0,53.0,1.0,3.0,2.0,0.0,0.0,35.0]","[0.125,0.9797930811509862,0.23809523809523808,0.5,0.6521739130434783,0.8983050847457628,0.5,0.5,0.012987012987012988,0.0,0.0,0.472972972972973]","[0.0,7.0,3.0,1.0]","[0.0,7.0,3.0,1.0,5.0,6061.0,6.0,1.0,15.0,53.0,1.0,3.0,2.0,0.0,0.0]","[0.0,0.08536585365853659,0.0,0.5,0.125,0.9797930811509862,0.23809523809523808,0.5,0.6521739130434783,0.8983050847457628,0.5,0.5,0.012987012987012988,0.0,0.0]"
Friday,downsview park station,SUAP,16,20,N,YU,5931,6,1,16,58,1,3.0,12.0,1.0,0.0,40.0,"[0, 44, 11, 1]","[20.0,5931.0,6.0,1.0,16.0,58.0,1.0,3.0,12.0,1.0,0.0,40.0]","[0.5,0.9587778855480117,0.23809523809523808,0.5,0.6956521739130435,0.9830508474576272,0.5,0.5,0.07792207792207792,0.25,0.0,0.5405405405405406]","[0.0,44.0,11.0,1.0]","[0.0,44.0,11.0,1.0,20.0,5931.0,6.0,1.0,16.0,58.0,1.0,3.0,12.0,1.0,0.0]","[0.0,0.5365853658536586,0.1038961038961039,0.5,0.5,0.9587778855480117,0.23809523809523808,0.5,0.6956521739130435,0.9830508474576272,0.5,0.5,0.07792207792207792,0.25,0.0]"
Friday,eglinton station,PUOPO,3,6,S,YU,5581,6,1,17,16,1,3.0,2.0,0.0,0.0,3.0,"[0, 0, 7, 1]","[6.0,5581.0,6.0,1.0,17.0,16.0,1.0,3.0,2.0,0.0,0.0,3.0]","[0.15000000000000002,0.9021985127707728,0.23809523809523808,0.5,0.7391304347826086,0.2711864406779661,0.5,0.5,0.012987012987012988,0.0,0.0,0.04054054054054054]","[0.0,0.0,7.0,1.0]","[0.0,0.0,7.0,1.0,6.0,5581.0,6.0,1.0,17.0,16.0,1.0,3.0,2.0,0.0,0.0]","[0.0,0.0,0.05194805194805195,0.5,0.15000000000000002,0.9021985127707728,0.23809523809523808,0.5,0.7391304347826086,0.2711864406779661,0.5,0.5,0.012987012987012988,0.0,0.0]"
Friday,ossington station,MUDD,14,17,E,BD,5122,6,1,17,45,1,3.0,13.0,3.0,1.0,32.0,"[0, 0, 38, 1]","[17.0,5122.0,6.0,1.0,17.0,45.0,1.0,3.0,13.0,3.0,1.0,32.0]","[0.42500000000000004,0.8279987067571937,0.23809523809523808,0.5,0.7391304347826086,0.7627118644067796,0.5,0.5,0.08441558441558442,0.75,0.3333333333333333,0.43243243243243246]","[0.0,0.0,38.0,1.0]","[0.0,0.0,38.0,1.0,17.0,5122.0,6.0,1.0,17.0,45.0,1.0,3.0,13.0,3.0,1.0]","[0.0,0.0,0.4545454545454546,0.5,0.42500000000000004,0.8279987067571937,0.23809523809523808,0.5,0.7391304347826086,0.7627118644067796,0.5,0.5,0.08441558441558442,0.75,0.3333333333333333]"
Friday,pioneer village  station,SUAP,38,40,N,YU,5741,6,1,18,7,1,3.0,12.0,1.0,0.0,64.0,"[0, 70, 71, 1]","[40.0,5741.0,6.0,1.0,18.0,7.0,1.0,3.0,12.0,1.0,0.0,64.0]","[1.0,0.9280633688975106,0.23809523809523808,0.5,0.7826086956521738,0.11864406779661017,0.5,0.5,0.07792207792207792,0.25,0.0,0.8648648648648649]","[0.0,70.0,71.0,1.0]","[0.0,70.0,71.0,1.0,40.0,5741.0,6.0,1.0,18.0,7.0,1.0,3.0,12.0,1.0,0.0]","[0.0,0.8536585365853658,0.8831168831168832,0.5,1.0,0.9280633688975106,0.23809523809523808,0.5,0.7826086956521738,0.11864406779661017,0.5,0.5,0.07792207792207792,0.25,0.0]"
Friday,sheppard west station,MUIR,8,10,N,YU,5581,6,1,18,18,1,3.0,4.0,1.0,0.0,20.0,"[0, 9, 3, 1]","[10.0,5581.0,6.0,1.0,18.0,18.0,1.0,3.0,4.0,1.0,0.0,20.0]","[0.25,0.9021985127707728,0.23809523809523808,0.5,0.7826086956521738,0.3050847457627119,0.5,0.5,0.025974025974025976,0.25,0.0,0.2702702702702703]","[0.0,9.0,3.0,1.0]","[0.0,9.0,3.0,1.0,10.0,5581.0,6.0,1.0,18.0,18.0,1.0,3.0,4.0,1.0,0.0]","[0.0,0.10975609756097561,0.0,0.5,0.25,0.9021985127707728,0.23809523809523808,0.5,0.7826086956521738,0.3050847457627119,0.5,0.5,0.025974025974025976,0.25,0.0]"
Friday,st george station,MUPAA,4,6,S,YU,6111,6,1,18,57,1,3.0,1.0,0.0,0.0,4.0,"[0, 2, 15, 1]","[6.0,6111.0,6.0,1.0,18.0,57.0,1.0,3.0,1.0,0.0,0.0,4.0]","[0.15000000000000002,0.9878758486905918,0.23809523809523808,0.5,0.7826086956521738,0.9661016949152542,0.5,0.5,0.006493506493506494,0.0,0.0,0.05405405405405406]","[0.0,2.0,15.0,1.0]","[0.0,2.0,15.0,1.0,6.0,6111.0,6.0,1.0,18.0,57.0,1.0,3.0,1.0,0.0,0.0]","[0.0,0.024390243902439025,0.15584415584415584,0.5,0.15000000000000002,0.9878758486905918,0.23809523809523808,0.5,0.7826086956521738,0.9661016949152542,0.5,0.5,0.006493506493506494,0.0,0.0]"
