day,station,code,min_delay,min_gap,bound,line,vehicle,day_month,month,hour,min,at_station,day_indexed,code_indexed,bound_indexed,line_indexed,station_indexed,station_w2v,features,scaled_features,station_w2v_vector,features_w2v,scaled_features_w2v
Sunday,sheppard west station,TUNOA,6,12,N,YU,5851,1,1,8,44,1,6.0,37.0,1.0,0.0,20.0,"[0, 9, 3, 1]","[12.0,5851.0,1.0,1.0,8.0,44.0,1.0,6.0,37.0,1.0,0.0,20.0]","[0.30000000000000004,0.9458454574846428,0.0,0.5,0.34782608695652173,0.7457627118644068,0.5,1.0,0.24025974025974028,0.25,0.0,0.2702702702702703]","[0.0,9.0,3.0,1.0]","[0.0,9.0,3.0,1.0,12.0,5851.0,1.0,1.0,8.0,44.0,1.0,6.0,37.0,1.0,0.0]","[0.0,0.10975609756097561,0.0,0.5,0.30000000000000004,0.9458454574846428,0.0,0.5,0.34782608695652173,0.7457627118644068,0.5,1.0,0.24025974025974028,0.25,0.0]"
Sunday,eglinton station,PUSRA,4,8,S,YU,5851,1,1,10,54,1,6.0,28.0,0.0,0.0,3.0,"[0, 0, 7, 1]","[8.0,5851.0,1.0,1.0,10.0,54.0,1.0,6.0,28.0,0.0,0.0,3.0]","[0.2,0.9458454574846428,0.0,0.5,0.43478260869565216,0.9152542372881356,0.5,1.0,0.18181818181818182,0.0,0.0,0.04054054054054054]","[0.0,0.0,7.0,1.0]","[0.0,0.0,7.0,1.0,8.0,5851.0,1.0,1.0,10.0,54.0,1.0,6.0,28.0,0.0,0.0]","[0.0,0.0,0.05194805194805195,0.5,0.2,0.9458454574846428,0.0,0.5,0.43478260869565216,0.9152542372881356,0.5,1.0,0.18181818181818182,0.0,0.0]"
Sunday,donlands station,TUNIP,3,7,W,BD,5077,1,1,11,54,1,6.0,17.0,2.0,1.0,33.0,"[0, 0, 39, 1]","[7.0,5077.0,1.0,1.0,11.0,54.0,1.0,6.0,17.0,2.0,1.0,33.0]","[0.17500000000000002,0.8207242159715488,0.0,0.5,0.4782608695652174,0.9152542372881356,0.5,1.0,0.1103896103896104,0.5,0.3333333333333333,0.44594594594594594]","[0.0,0.0,39.0,1.0]","[0.0,0.0,39.0,1.0,7.0,5077.0,1.0,1.0,11.0,54.0,1.0,6.0,17.0,2.0,1.0]","[0.0,0.0,0.4675324675324676,0.5,0.17500000000000002,0.8207242159715488,0.0,0.5,0.4782608695652174,0.9152542372881356,0.5,1.0,0.1103896103896104,0.5,0.3333333333333333]"
Sunday,davisville station,SUDP,4,8,N,YU,5546,1,1,14,39,1,6.0,0.0,1.0,0.0,11.0,"[0, 0, 22, 1]","[8.0,5546.0,1.0,1.0,14.0,39.0,1.0,6.0,0.0,1.0,0.0,11.0]","[0.2,0.8965405754930489,0.0,0.5,0.6086956521739131,0.6610169491525424,0.5,1.0,0.0,0.25,0.0,0.14864864864864866]","[0.0,0.0,22.0,1.0]","[0.0,0.0,22.0,1.0,8.0,5546.0,1.0,1.0,14.0,39.0,1.0,6.0,0.0,1.0,0.0]","[0.0,0.0,0.24675324675324678,0.5,0.2,0.8965405754930489,0.0,0.5,0.6086956521739131,0.6610169491525424,0.5,1.0,0.0,0.25,0.0]"
Sunday,pioneer village  station,MUSAN,5,9,S,YU,5636,1,1,15,55,1,6.0,7.0,0.0,0.0,64.0,"[0, 70, 71, 1]","[9.0,5636.0,1.0,1.0,15.0,55.0,1.0,6.0,7.0,0.0,0.0,64.0]","[0.225,0.9110895570643389,0.0,0.5,0.6521739130434783,0.9322033898305084,0.5,1.0,0.045454545454545456,0.0,0.0,0.8648648648648649]","[0.0,70.0,71.0,1.0]","[0.0,70.0,71.0,1.0,9.0,5636.0,1.0,1.0,15.0,55.0,1.0,6.0,7.0,0.0,0.0]","[0.0,0.8536585365853658,0.8831168831168832,0.5,0.225,0.9110895570643389,0.0,0.5,0.6521739130434783,0.9322033898305084,0.5,1.0,0.045454545454545456,0.0,0.0]"
Sunday,sheppard west station,SUDP,6,10,S,YU,5451,1,1,16,13,1,6.0,0.0,0.0,0.0,20.0,"[0, 9, 3, 1]","[10.0,5451.0,1.0,1.0,16.0,13.0,1.0,6.0,0.0,0.0,0.0,20.0]","[0.25,0.8811833171677983,0.0,0.5,0.6956521739130435,0.22033898305084745,0.5,1.0,0.0,0.0,0.0,0.2702702702702703]","[0.0,9.0,3.0,1.0]","[0.0,9.0,3.0,1.0,10.0,5451.0,1.0,1.0,16.0,13.0,1.0,6.0,0.0,0.0,0.0]","[0.0,0.10975609756097561,0.0,0.5,0.25,0.8811833171677983,0.0,0.5,0.6956521739130435,0.22033898305084745,0.5,1.0,0.0,0.0,0.0]"
Sunday,greenwood station,SUDP,9,13,W,BD,5371,1,1,17,27,1,6.0,0.0,2.0,1.0,28.0,"[0, 0, 35, 1]","[13.0,5371.0,1.0,1.0,17.0,27.0,1.0,6.0,0.0,2.0,1.0,28.0]","[0.325,0.8682508891044294,0.0,0.5,0.7391304347826086,0.4576271186440678,0.5,1.0,0.0,0.5,0.3333333333333333,0.3783783783783784]","[0.0,0.0,35.0,1.0]","[0.0,0.0,35.0,1.0,13.0,5371.0,1.0,1.0,17.0,27.0,1.0,6.0,0.0,2.0,1.0]","[0.0,0.0,0.4155844155844156,0.5,0.325,0.8682508891044294,0.0,0.5,0.7391304347826086,0.4576271186440678,0.5,1.0,0.0,0.5,0.3333333333333333]"
Sunday,st george station,MUPAA,5,10,N,YU,5851,1,1,18,59,1,6.0,1.0,1.0,0.0,4.0,"[0, 2, 15, 1]","[10.0,5851.0,1.0,1.0,18.0,59.0,1.0,6.0,1.0,1.0,0.0,4.0]","[0.25,0.9458454574846428,0.0,0.5,0.7826086956521738,1.0,0.5,1.0,0.006493506493506494,0.25,0.0,0.05405405405405406]","[0.0,2.0,15.0,1.0]","[0.0,2.0,15.0,1.0,10.0,5851.0,1.0,1.0,18.0,59.0,1.0,6.0,1.0,1.0,0.0]","[0.0,0.024390243902439025,0.15584415584415584,0.5,0.25,0.9458454574846428,0.0,0.5,0.7826086956521738,1.0,0.5,1.0,0.006493506493506494,0.25,0.0]"
Sunday,bathurst station,SUSP,5,9,W,BD,5371,1,1,19,30,1,6.0,154.0,2.0,1.0,46.0,"[0, 0, 51, 1]","[9.0,5371.0,1.0,1.0,19.0,30.0,1.0,6.0,154.0,2.0,1.0,46.0]","[0.225,0.8682508891044294,0.0,0.5,0.8260869565217391,0.5084745762711864,0.5,1.0,1.0,0.5,0.3333333333333333,0.6216216216216217]","[0.0,0.0,51.0,1.0]","[0.0,0.0,51.0,1.0,9.0,5371.0,1.0,1.0,19.0,30.0,1.0,6.0,154.0,2.0,1.0]","[0.0,0.0,0.6233766233766234,0.5,0.225,0.8682508891044294,0.0,0.5,0.8260869565217391,0.5084745762711864,0.5,1.0,1.0,0.5,0.3333333333333333]"
Sunday,bloor yonge station,SUDP,3,8,E,BD,5056,1,1,20,37,1,6.0,0.0,3.0,1.0,0.0,"[0, 5, 4, 1]","[8.0,5056.0,1.0,1.0,20.0,37.0,1.0,6.0,0.0,3.0,1.0,0.0]","[0.2,0.8173294536049144,0.0,0.5,0.8695652173913043,0.6271186440677966,0.5,1.0,0.0,0.75,0.3333333333333333,0.0]","[0.0,5.0,4.0,1.0]","[0.0,5.0,4.0,1.0,8.0,5056.0,1.0,1.0,20.0,37.0,1.0,6.0,0.0,3.0,1.0]","[0.0,0.06097560975609756,0.012987012987012988,0.5,0.2,0.8173294536049144,0.0,0.5,0.8695652173913043,0.6271186440677966,0.5,1.0,0.0,0.75,0.3333333333333333]"
Sunday,kennedy station,EUVA,6,12,W,BD,5141,1,1,21,57,1,6.0,72.0,2.0,1.0,1.0,"[0, 0, 6, 1]","[12.0,5141.0,1.0,1.0,21.0,57.0,1.0,6.0,72.0,2.0,1.0,1.0]","[0.30000000000000004,0.8310701584222439,0.0,0.5,0.9130434782608695,0.9661016949152542,0.5,1.0,0.4675324675324676,0.5,0.3333333333333333,0.013513513513513514]","[0.0,0.0,6.0,1.0]","[0.0,0.0,6.0,1.0,12.0,5141.0,1.0,1.0,21.0,57.0,1.0,6.0,72.0,2.0,1.0]","[0.0,0.0,0.03896103896103896,0.5,0.30000000000000004,0.8310701584222439,0.0,0.5,0.9130434782608695,0.9661016949152542,0.5,1.0,0.4675324675324676,0.5,0.3333333333333333]"
Sunday,union station,SUDP,14,20,N,YU,6086,1,1,22,19,1,6.0,0.0,1.0,0.0,12.0,"[0, 0, 23, 1]","[20.0,6086.0,1.0,1.0,22.0,19.0,1.0,6.0,0.0,1.0,0.0,12.0]","[0.5,0.983834464920789,0.0,0.5,0.9565217391304348,0.3220338983050847,0.5,1.0,0.0,0.25,0.0,0.16216216216216217]","[0.0,0.0,23.0,1.0]","[0.0,0.0,23.0,1.0,20.0,6086.0,1.0,1.0,22.0,19.0,1.0,6.0,0.0,1.0,0.0]","[0.0,0.0,0.25974025974025977,0.5,0.5,0.983834464920789,0.0,0.5,0.9565217391304348,0.3220338983050847,0.5,1.0,0.0,0.25,0.0]"
Sunday,kipling station,MUIR,6,12,E,BD,5135,1,1,23,19,1,6.0,4.0,3.0,1.0,2.0,"[0, 0, 12, 1]","[12.0,5135.0,1.0,1.0,23.0,19.0,1.0,6.0,4.0,3.0,1.0,2.0]","[0.30000000000000004,0.8301002263174911,0.0,0.5,1.0,0.3220338983050847,0.5,1.0,0.025974025974025976,0.75,0.3333333333333333,0.02702702702702703]","[0.0,0.0,12.0,1.0]","[0.0,0.0,12.0,1.0,12.0,5135.0,1.0,1.0,23.0,19.0,1.0,6.0,4.0,3.0,1.0]","[0.0,0.0,0.1168831168831169,0.5,0.30000000000000004,0.8301002263174911,0.0,0.5,1.0,0.3220338983050847,0.5,1.0,0.025974025974025976,0.75,0.3333333333333333]"
